,state,county,Risk,county,,,,0
1834,New York,Chemung,0.581705749,Chemung,,,,0.581705749
1835,New York,Chenango,0.555303574,Chenango,,,,0.555303574
1836,New York,Clinton,0.582197845,Clinton,,,,0.582197845
1837,New York,Columbia,0.549427927,Columbia,,,,0.549427927
1838,New York,Cortland,0.546760142,Cortland,,,,0.546760142
1839,New York,Delaware,0.550687551,Delaware,,,,0.550687551
1840,New York,Dutchess,0.543735266,Dutchess,,,,0.543735266
1841,New York,Erie,0.663582206,Erie,,,,0.663582206
1842,New York,Essex,0.613208413,Essex,,,,0.613208413
1843,New York,Franklin,0.561475098,Franklin,,,,0.561475098
1844,New York,Fulton,0.600753129,Fulton,,,,0.600753129
1845,New York,Genesee,0.620273769,Genesee,,,,0.620273769
1846,New York,Greene,0.524781227,Greene,,,,0.524781227
1847,New York,Hamilton,0.627147794,Hamilton,,,,0.627147794
1848,New York,Herkimer,0.63707155,Herkimer,,,,0.63707155
1849,New York,Jefferson,0.525946975,Jefferson,,,,0.525946975
1850,New York,Kings,0.425618351,Kings,,,,0.425618351
1851,New York,Lewis,0.527185023,Lewis,,,,0.527185023
1852,New York,Livingston,0.561014414,Livingston,,,,0.561014414
1853,New York,Madison,0.601738572,Madison,,,,0.601738572
1854,New York,Monroe,0.550549686,Monroe,,,,0.550549686
1855,New York,Montgomery,0.527432621,Montgomery,,,,0.527432621
1856,New York,Nassau,0.602502882,Nassau,,,,0.602502882
1857,New York,New,0.578990996,New,,,,0.578990996
1858,New York,Niagara,0.68016398,Niagara,,,,0.68016398
1859,New York,Oneida,0.583933115,Oneida,,,,0.583933115
1860,New York,Onondaga,0.566822052,Onondaga,,,,0.566822052
1861,New York,Ontario,0.600752115,Ontario,,,,0.600752115
1862,New York,Orange,0.394482911,Orange,,,,0.394482911
1863,New York,Orleans,0.615191758,Orleans,,,,0.615191758
1864,New York,Oswego,0.558956385,Oswego,,,,0.558956385
1865,New York,Otsego,0.60118413,Otsego,,,,0.60118413
1866,New York,Putnam,0.496785432,Putnam,,,,0.496785432
1867,New York,Queens,0.436323553,Queens,,,,0.436323553
1868,New York,Rensselaer,0.549455822,Rensselaer,,,,0.549455822
1869,New York,Richmond,0.614104211,Richmond,,,,0.614104211
1870,New York,Rockland,0.32929197,Rockland,,,,0.32929197
1871,New York,St.,0.624010742,St.,,,,0.624010742
1872,New York,Saratoga,0.574807346,Saratoga,,,,0.574807346
1873,New York,Schenectady,0.532863975,Schenectady,,,,0.532863975
1874,New York,Schoharie,0.609187245,Schoharie,,,,0.609187245
1875,New York,Schuyler,0.587412715,Schuyler,,,,0.587412715
1876,New York,Seneca,0.542758226,Seneca,,,,0.542758226
1877,New York,Steuben,0.585036457,Steuben,,,,0.585036457
1878,New York,Suffolk,0.531736374,Suffolk,,,,0.531736374
1879,New York,Sullivan,0.476454407,Sullivan,,,,0.476454407
1880,New York,Tioga,0.597433805,Tioga,,,,0.597433805
1881,New York,Tompkins,0.56445384,Tompkins,,,,0.56445384
1882,New York,Ulster,0.520973027,Ulster,,,,0.520973027
1883,New York,Warren,0.562341452,Warren,,,,0.562341452
1884,New York,Washington,0.592291594,Washington,,,,0.592291594
1885,New York,Wayne,0.585391343,Wayne,,,,0.585391343
1886,New York,Westchester,0.418712646,Westchester,,,,0.418712646
1887,New York,Wyoming,0.580970764,Wyoming,,,,0.580970764
1888,New York,Yates,0.464412987,Yates,,,,0.464412987
1889,North Carolina,Alamance,0.483897388,Alamance,,,,0.483897388
1890,North Carolina,Alexander,0.56044668,Alexander,,,,0.56044668
1891,North Carolina,Alleghany,0.565466464,Alleghany,,,,0.565466464
1892,North Carolina,Anson,0.665046215,Anson,,,,0.665046215
1893,North Carolina,Ashe,0.689280808,Ashe,,,,0.689280808
1894,North Carolina,Avery,0.633725762,Avery,,,,0.633725762
1895,North Carolina,Beaufort,0.537044704,Beaufort,,,,0.537044704
1896,North Carolina,Bertie,0.695241988,Bertie,,,,0.695241988
1897,North Carolina,Bladen,0.65096277,Bladen,,,,0.65096277
1898,North Carolina,Brunswick,0.66957885,Brunswick,,,,0.66957885
1899,North Carolina,Buncombe,0.56714344,Buncombe,,,,0.56714344
1900,North Carolina,Burke,0.516782641,Burke,,,,0.516782641
1901,North Carolina,Cabarrus,0.434228241,Cabarrus,,,,0.434228241
1902,North Carolina,Caldwell,0.578574419,Caldwell,,,,0.578574419
1903,North Carolina,Camden,0.489016026,Camden,,,,0.489016026
1904,North Carolina,Carteret,0.642467141,Carteret,,,,0.642467141
1905,North Carolina,Caswell,0.521962285,Caswell,,,,0.521962285
1906,North Carolina,Catawba,0.488894045,Catawba,,,,0.488894045
1907,North Carolina,Chatham,0.542690933,Chatham,,,,0.542690933
1908,North Carolina,Cherokee,0.671071112,Cherokee,,,,0.671071112
1909,North Carolina,Chowan,0.615058243,Chowan,,,,0.615058243
1910,North Carolina,Clay,0.577425063,Clay,,,,0.577425063
1911,North Carolina,Cleveland,0.570251286,Cleveland,,,,0.570251286
1912,North Carolina,Columbus,0.697139621,Columbus,,,,0.697139621
1913,North Carolina,Craven,0.61499697,Craven,,,,0.61499697
1914,North Carolina,Cumberland,0.486770302,Cumberland,,,,0.486770302
1915,North Carolina,Currituck,0.512042046,Currituck,,,,0.512042046
1916,North Carolina,Dare,0.522506893,Dare,,,,0.522506893
1917,North Carolina,Davidson,0.516313732,Davidson,,,,0.516313732
1918,North Carolina,Davie,0.567498624,Davie,,,,0.567498624
1919,North Carolina,Duplin,0.553402483,Duplin,,,,0.553402483
1920,North Carolina,Durham,0.434287578,Durham,,,,0.434287578
1921,North Carolina,Edgecombe,0.638415575,Edgecombe,,,,0.638415575
1922,North Carolina,Forsyth,0.458693892,Forsyth,,,,0.458693892
1923,North Carolina,Franklin,0.495512635,Franklin,,,,0.495512635
1924,North Carolina,Gaston,0.482373923,Gaston,,,,0.482373923
1925,North Carolina,Gates,0.60971272,Gates,,,,0.60971272
1926,North Carolina,Graham,0.600136817,Graham,,,,0.600136817
1927,North Carolina,Granville,0.548735023,Granville,,,,0.548735023
1928,North Carolina,Greene,0.484397113,Greene,,,,0.484397113
1929,North Carolina,Guilford,0.494949847,Guilford,,,,0.494949847
1930,North Carolina,Halifax,0.690409303,Halifax,,,,0.690409303
1931,North Carolina,Harnett,0.449878544,Harnett,,,,0.449878544
1932,North Carolina,Haywood,0.650461793,Haywood,,,,0.650461793
1933,North Carolina,Henderson,0.533368528,Henderson,,,,0.533368528
1934,North Carolina,Hertford,0.699173093,Hertford,,,,0.699173093
1935,North Carolina,Hoke,0.478948832,Hoke,,,,0.478948832
1936,North Carolina,Hyde,0.689786136,Hyde,,,,0.689786136
1937,North Carolina,Iredell,0.486332893,Iredell,,,,0.486332893
1938,North Carolina,Jackson,0.575780153,Jackson,,,,0.575780153
1939,North Carolina,Johnston,0.426859438,Johnston,,,,0.426859438
1940,North Carolina,Jones,0.773771524,Jones,,,,0.773771524
1941,North Carolina,Lee,0.389586508,Lee,,,,0.389586508
1942,North Carolina,Lenoir,0.579045534,Lenoir,,,,0.579045534
1943,North Carolina,Lincoln,0.485003799,Lincoln,,,,0.485003799
1944,North Carolina,McDowell,0.584083021,McDowell,,,,0.584083021
1945,North Carolina,Macon,0.61672765,Macon,,,,0.61672765
1946,North Carolina,Madison,0.529930472,Madison,,,,0.529930472
1947,North Carolina,Martin,0.60248816,Martin,,,,0.60248816
1948,North Carolina,Mecklenburg,0.422452062,Mecklenburg,,,,0.422452062
1949,North Carolina,Mitchell,0.625538826,Mitchell,,,,0.625538826
1950,North Carolina,Montgomery,0.525755167,Montgomery,,,,0.525755167
1951,North Carolina,Moore,0.586177051,Moore,,,,0.586177051
1952,North Carolina,Nash,0.556245029,Nash,,,,0.556245029
